year,EL_no,EL_name_general,EL_name_sub,public,value
2008,5,5 : Logement non-conventionnel,Squats,X,
2008,6,6 : Chez des tiers,Chez des tiers,X,
2008,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,X,
2008,1,1 : Espace public,Espace public,Indéterminé,160
2008,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Indéterminé,
2008,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Indéterminé,207
2008,3,3 : Foyer d'hébergement,Maisons d'accueil,Indéterminé,
2008,3,3 : Foyer d'hébergement,Logements de transit,Indéterminé,
2008,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Indéterminé,0
2008,4,4 : En institution,Institutions médicales,Indéterminé,
2008,4,4 : En institution,Asile,Indéterminé,
2008,5,5 : Logement non-conventionnel,SHNA,Indéterminé,160
2008,5,5 : Logement non-conventionnel,Occupations négociées,Indéterminé,7
2008,5,5 : Logement non-conventionnel,Squats,Indéterminé,207
2008,6,6 : Chez des tiers,Chez des tiers,Indéterminé,
2008,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Indéterminé,414
2008,1,1 : Espace public,Espace public,Mineurs,13
2008,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Mineurs,
2008,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Mineurs,15
2008,3,3 : Foyer d'hébergement,Maisons d'accueil,Mineurs,
2008,3,3 : Foyer d'hébergement,Logements de transit,Mineurs,
2008,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Mineurs,178
2008,4,4 : En institution,Institutions médicales,Mineurs,
2008,4,4 : En institution,Asile,Mineurs,
2008,5,5 : Logement non-conventionnel,SHNA,Mineurs,5
2008,5,5 : Logement non-conventionnel,Occupations négociées,Mineurs,0
2008,5,5 : Logement non-conventionnel,Squats,Mineurs,5
2008,6,6 : Chez des tiers,Chez des tiers,Mineurs,
2008,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Mineurs,198
2008,1,1 : Espace public,Espace public,Total,234
2008,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Total,
2008,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Total,503
2008,3,3 : Foyer d'hébergement,Maisons d'accueil,Total,
2008,3,3 : Foyer d'hébergement,Logements de transit,Total,
2008,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Total,780
2008,4,4 : En institution,Institutions médicales,Total,
2008,4,4 : En institution,Asile,Total,
2008,5,5 : Logement non-conventionnel,SHNA,Total,216
2008,5,5 : Logement non-conventionnel,Occupations négociées,Total,60
2008,5,5 : Logement non-conventionnel,Squats,Total,441
2008,6,6 : Chez des tiers,Chez des tiers,Total,
2008,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Total,1724
2010,1,1 : Espace public,Espace public,Femmes,101
2010,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Femmes,
2010,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Femmes,137
2010,3,3 : Foyer d'hébergement,Maisons d'accueil,Femmes,38
2010,3,3 : Foyer d'hébergement,Logements de transit,Femmes,
2010,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Femmes,213
2010,4,4 : En institution,Institutions médicales,Femmes,
2010,4,4 : En institution,Asile,Femmes,
2010,5,5 : Logement non-conventionnel,SHNA,Femmes,64
2010,5,5 : Logement non-conventionnel,Occupations négociées,Femmes,0
2010,5,5 : Logement non-conventionnel,Squats,Femmes,95
2010,6,6 : Chez des tiers,Chez des tiers,Femmes,
2010,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Femmes,483
2010,1,1 : Espace public,Espace public,Hommes,120
2010,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Hommes,
2010,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Hommes,360
2010,3,3 : Foyer d'hébergement,Maisons d'accueil,Hommes,78
2010,3,3 : Foyer d'hébergement,Logements de transit,Hommes,
2010,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Hommes,368
2010,4,4 : En institution,Institutions médicales,Hommes,
2010,4,4 : En institution,Asile,Hommes,
2010,5,5 : Logement non-conventionnel,SHNA,Hommes,117
2010,5,5 : Logement non-conventionnel,Occupations négociées,Hommes,0
2010,5,5 : Logement non-conventionnel,Squats,Hommes,270
2010,6,6 : Chez des tiers,Chez des tiers,Hommes,
2010,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Hommes,1076
2010,1,1 : Espace public,Espace public,X,
2010,2,2 : Dispositifs d'urgence,Hébergement d'urgence,X,
2010,2,2 : Dispositifs d'urgence,Plateforme citoyenne,X,
2010,3,3 : Foyer d'hébergement,Maisons d'accueil,X,
2010,3,3 : Foyer d'hébergement,Logements de transit,X,
2010,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,X,
2010,4,4 : En institution,Institutions médicales,X,
2010,4,4 : En institution,Asile,X,
2010,5,5 : Logement non-conventionnel,SHNA,X,
2010,5,5 : Logement non-conventionnel,Occupations négociées,X,
2010,5,5 : Logement non-conventionnel,Squats,X,
2010,6,6 : Chez des tiers,Chez des tiers,X,
2010,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,X,
2010,1,1 : Espace public,Espace public,Indéterminé,0
2010,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Indéterminé,
2010,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Indéterminé,33
2010,3,3 : Foyer d'hébergement,Maisons d'accueil,Indéterminé,0
2010,3,3 : Foyer d'hébergement,Logements de transit,Indéterminé,
2010,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Indéterminé,0
2010,4,4 : En institution,Institutions médicales,Indéterminé,
2010,4,4 : En institution,Asile,Indéterminé,
2010,5,5 : Logement non-conventionnel,SHNA,Indéterminé,0
2010,5,5 : Logement non-conventionnel,Occupations négociées,Indéterminé,100
2010,5,5 : Logement non-conventionnel,Squats,Indéterminé,100
2010,6,6 : Chez des tiers,Chez des tiers,Indéterminé,
2010,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Indéterminé,133
2010,1,1 : Espace public,Espace public,Mineurs,61
2010,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Mineurs,
2010,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Mineurs,81
2010,3,3 : Foyer d'hébergement,Maisons d'accueil,Mineurs,48
2010,3,3 : Foyer d'hébergement,Logements de transit,Mineurs,
2010,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Mineurs,214
2010,4,4 : En institution,Institutions médicales,Mineurs,
2010,4,4 : En institution,Asile,Mineurs,
2010,5,5 : Logement non-conventionnel,SHNA,Mineurs,94
2010,5,5 : Logement non-conventionnel,Occupations négociées,Mineurs,0
2010,5,5 : Logement non-conventionnel,Squats,Mineurs,99
2010,6,6 : Chez des tiers,Chez des tiers,Mineurs,
2010,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Mineurs,442
2010,1,1 : Espace public,Espace public,Total,282
2010,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Total,
2010,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Total,611
2010,3,3 : Foyer d'hébergement,Maisons d'accueil,Total,164
2010,3,3 : Foyer d'hébergement,Logements de transit,Total,
2010,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Total,795
2010,4,4 : En institution,Institutions médicales,Total,
2010,4,4 : En institution,Asile,Total,
2010,5,5 : Logement non-conventionnel,SHNA,Total,275
2010,5,5 : Logement non-conventionnel,Occupations négociées,Total,100
2010,5,5 : Logement non-conventionnel,Squats,Total,564
2010,6,6 : Chez des tiers,Chez des tiers,Total,
2010,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Total,2134
2014,1,1 : Espace public,Espace public,Femmes,139
2014,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Femmes,
2014,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Femmes,179
2014,3,3 : Foyer d'hébergement,Maisons d'accueil,Femmes,139
2014,3,3 : Foyer d'hébergement,Logements de transit,Femmes,
2014,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Femmes,374
2014,4,4 : En institution,Institutions médicales,Femmes,
2014,4,4 : En institution,Asile,Femmes,5
2014,5,5 : Logement non-conventionnel,SHNA,Femmes,51
2014,5,5 : Logement non-conventionnel,Occupations négociées,Femmes,55
2014,5,5 : Logement non-conventionnel,Squats,Femmes,184
2014,6,6 : Chez des tiers,Chez des tiers,Femmes,
2014,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Femmes,742
2014,1,1 : Espace public,Espace public,Hommes,119
2014,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Hommes,
2014,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Hommes,440
2014,3,3 : Foyer d'hébergement,Maisons d'accueil,Hommes,156
2014,3,3 : Foyer d'hébergement,Logements de transit,Hommes,
2014,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Hommes,537
2014,4,4 : En institution,Institutions médicales,Hommes,
2014,4,4 : En institution,Asile,Hommes,31
2014,5,5 : Logement non-conventionnel,SHNA,Hommes,75
2014,5,5 : Logement non-conventionnel,Occupations négociées,Hommes,273
2014,5,5 : Logement non-conventionnel,Squats,Hommes,602
2014,6,6 : Chez des tiers,Chez des tiers,Hommes,
2014,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Hommes,1610
2014,1,1 : Espace public,Espace public,X,
2014,2,2 : Dispositifs d'urgence,Hébergement d'urgence,X,
2014,2,2 : Dispositifs d'urgence,Plateforme citoyenne,X,
2014,3,3 : Foyer d'hébergement,Maisons d'accueil,X,
2014,3,3 : Foyer d'hébergement,Logements de transit,X,
2014,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,X,
2014,4,4 : En institution,Institutions médicales,X,
2014,4,4 : En institution,Asile,X,
2014,5,5 : Logement non-conventionnel,SHNA,X,
2014,5,5 : Logement non-conventionnel,Occupations négociées,X,
2014,5,5 : Logement non-conventionnel,Squats,X,
2014,6,6 : Chez des tiers,Chez des tiers,X,
2014,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,X,
2014,1,1 : Espace public,Espace public,Indéterminé,0
2014,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Indéterminé,
2014,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Indéterminé,46
2014,3,3 : Foyer d'hébergement,Maisons d'accueil,Indéterminé,0
2014,3,3 : Foyer d'hébergement,Logements de transit,Indéterminé,
2014,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Indéterminé,0
2014,4,4 : En institution,Institutions médicales,Indéterminé,
2014,4,4 : En institution,Asile,Indéterminé,0
2014,5,5 : Logement non-conventionnel,SHNA,Indéterminé,0
2014,5,5 : Logement non-conventionnel,Occupations négociées,Indéterminé,15
2014,5,5 : Logement non-conventionnel,Squats,Indéterminé,15
2014,6,6 : Chez des tiers,Chez des tiers,Indéterminé,
2014,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Indéterminé,61
2014,1,1 : Espace public,Espace public,Mineurs,109
2014,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Mineurs,
2014,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Mineurs,114
2014,3,3 : Foyer d'hébergement,Maisons d'accueil,Mineurs,209
2014,3,3 : Foyer d'hébergement,Logements de transit,Mineurs,
2014,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Mineurs,446
2014,4,4 : En institution,Institutions médicales,Mineurs,
2014,4,4 : En institution,Asile,Mineurs,0
2014,5,5 : Logement non-conventionnel,SHNA,Mineurs,67
2014,5,5 : Logement non-conventionnel,Occupations négociées,Mineurs,79
2014,5,5 : Logement non-conventionnel,Squats,Mineurs,174
2014,6,6 : Chez des tiers,Chez des tiers,Mineurs,
2014,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Mineurs,734
2014,1,1 : Espace public,Espace public,Total,367
2014,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Total,
2014,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Total,779
2014,3,3 : Foyer d'hébergement,Maisons d'accueil,Total,504
2014,3,3 : Foyer d'hébergement,Logements de transit,Total,
2014,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Total,1357
2014,4,4 : En institution,Institutions médicales,Total,
2014,4,4 : En institution,Asile,Total,36
2014,5,5 : Logement non-conventionnel,SHNA,Total,193
2014,5,5 : Logement non-conventionnel,Occupations négociées,Total,422
2014,5,5 : Logement non-conventionnel,Squats,Total,975
2014,6,6 : Chez des tiers,Chez des tiers,Total,
2014,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Total,3147
2016,1,1 : Espace public,Espace public,Femmes,177
2016,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Femmes,
2016,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Femmes,227
2016,3,3 : Foyer d'hébergement,Maisons d'accueil,Femmes,52
2016,3,3 : Foyer d'hébergement,Logements de transit,Femmes,
2016,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Femmes,281
2016,4,4 : En institution,Institutions médicales,Femmes,
2016,4,4 : En institution,Asile,Femmes,3
2016,5,5 : Logement non-conventionnel,SHNA,Femmes,82
2016,5,5 : Logement non-conventionnel,Occupations négociées,Femmes,112
2016,5,5 : Logement non-conventionnel,Squats,Femmes,319
2016,6,6 : Chez des tiers,Chez des tiers,Femmes,
2016,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Femmes,830
2016,1,1 : Espace public,Espace public,Hommes,148
2016,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Hommes,
2016,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Hommes,571
2016,3,3 : Foyer d'hébergement,Maisons d'accueil,Hommes,46
2016,3,3 : Foyer d'hébergement,Logements de transit,Hommes,
2016,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Hommes,426
2016,4,4 : En institution,Institutions médicales,Hommes,
2016,4,4 : En institution,Asile,Hommes,9
2016,5,5 : Logement non-conventionnel,SHNA,Hommes,126
2016,5,5 : Logement non-conventionnel,Occupations négociées,Hommes,385
2016,5,5 : Logement non-conventionnel,Squats,Hommes,826
2016,6,6 : Chez des tiers,Chez des tiers,Hommes,
2016,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Hommes,1832
2016,1,1 : Espace public,Espace public,X,
2016,2,2 : Dispositifs d'urgence,Hébergement d'urgence,X,
2016,2,2 : Dispositifs d'urgence,Plateforme citoyenne,X,
2016,3,3 : Foyer d'hébergement,Maisons d'accueil,X,
2016,3,3 : Foyer d'hébergement,Logements de transit,X,
2016,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,X,
2016,4,4 : En institution,Institutions médicales,X,
2016,4,4 : En institution,Asile,X,
2016,5,5 : Logement non-conventionnel,SHNA,X,
2016,5,5 : Logement non-conventionnel,Occupations négociées,X,
2016,5,5 : Logement non-conventionnel,Squats,X,
2016,6,6 : Chez des tiers,Chez des tiers,X,
2016,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,X,
2016,1,1 : Espace public,Espace public,Indéterminé,0
2016,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Indéterminé,
2016,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Indéterminé,210
2016,3,3 : Foyer d'hébergement,Maisons d'accueil,Indéterminé,0
2016,3,3 : Foyer d'hébergement,Logements de transit,Indéterminé,
2016,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Indéterminé,0
2016,4,4 : En institution,Institutions médicales,Indéterminé,
2016,4,4 : En institution,Asile,Indéterminé,0
2016,5,5 : Logement non-conventionnel,SHNA,Indéterminé,3
2016,5,5 : Logement non-conventionnel,Occupations négociées,Indéterminé,0
2016,5,5 : Logement non-conventionnel,Squats,Indéterminé,3
2016,6,6 : Chez des tiers,Chez des tiers,Indéterminé,
2016,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Indéterminé,213
2016,1,1 : Espace public,Espace public,Mineurs,149
2016,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Mineurs,
2016,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Mineurs,173
2016,3,3 : Foyer d'hébergement,Maisons d'accueil,Mineurs,72
2016,3,3 : Foyer d'hébergement,Logements de transit,Mineurs,
2016,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Mineurs,317
2016,4,4 : En institution,Institutions médicales,Mineurs,
2016,4,4 : En institution,Asile,Mineurs,0
2016,5,5 : Logement non-conventionnel,SHNA,Mineurs,64
2016,5,5 : Logement non-conventionnel,Occupations négociées,Mineurs,90
2016,5,5 : Logement non-conventionnel,Squats,Mineurs,191
2016,6,6 : Chez des tiers,Chez des tiers,Mineurs,
2016,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Mineurs,681
2016,1,1 : Espace public,Espace public,Total,474
2016,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Total,
2016,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Total,1181
2016,3,3 : Foyer d'hébergement,Maisons d'accueil,Total,170
2016,3,3 : Foyer d'hébergement,Logements de transit,Total,
2016,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Total,1024
2016,4,4 : En institution,Institutions médicales,Total,
2016,4,4 : En institution,Asile,Total,12
2016,5,5 : Logement non-conventionnel,SHNA,Total,275
2016,5,5 : Logement non-conventionnel,Occupations négociées,Total,587
2016,5,5 : Logement non-conventionnel,Squats,Total,1339
2016,6,6 : Chez des tiers,Chez des tiers,Total,
2016,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Total,3556
2017,1,1 : Espace public,Espace public,Femmes,271
2017,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Femmes,
2017,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Femmes,328
2017,3,3 : Foyer d'hébergement,Maisons d'accueil,Femmes,50
2017,3,3 : Foyer d'hébergement,Logements de transit,Femmes,
2017,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Femmes,286
2017,4,4 : En institution,Institutions médicales,Femmes,
2017,4,4 : En institution,Asile,Femmes,0
2017,5,5 : Logement non-conventionnel,SHNA,Femmes,97
2017,5,5 : Logement non-conventionnel,Occupations négociées,Femmes,84
2017,5,5 : Logement non-conventionnel,Squats,Femmes,302
2017,6,6 : Chez des tiers,Chez des tiers,Femmes,
2017,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Femmes,916
2017,1,1 : Espace public,Espace public,Hommes,943
2017,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Hommes,
2017,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Hommes,1273
2017,3,3 : Foyer d'hébergement,Maisons d'accueil,Hommes,45
2017,3,3 : Foyer d'hébergement,Logements de transit,Hommes,
2017,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Hommes,420
2017,4,4 : En institution,Institutions médicales,Hommes,
2017,4,4 : En institution,Asile,Hommes,11
2017,5,5 : Logement non-conventionnel,SHNA,Hommes,222
2017,5,5 : Logement non-conventionnel,Occupations négociées,Hommes,260
2017,5,5 : Logement non-conventionnel,Squats,Hommes,800
2017,6,6 : Chez des tiers,Chez des tiers,Hommes,
2017,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Hommes,2504
2017,1,1 : Espace public,Espace public,X,
2017,2,2 : Dispositifs d'urgence,Hébergement d'urgence,X,
2017,2,2 : Dispositifs d'urgence,Plateforme citoyenne,X,
2017,3,3 : Foyer d'hébergement,Maisons d'accueil,X,
2017,3,3 : Foyer d'hébergement,Logements de transit,X,
2017,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,X,
2017,4,4 : En institution,Institutions médicales,X,
2017,4,4 : En institution,Asile,X,
2017,5,5 : Logement non-conventionnel,SHNA,X,
2017,5,5 : Logement non-conventionnel,Occupations négociées,X,
2017,5,5 : Logement non-conventionnel,Squats,X,
2017,6,6 : Chez des tiers,Chez des tiers,X,
2017,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,X,
2017,1,1 : Espace public,Espace public,Indéterminé,0
2017,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Indéterminé,
2017,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Indéterminé,113
2017,3,3 : Foyer d'hébergement,Maisons d'accueil,Indéterminé,0
2017,3,3 : Foyer d'hébergement,Logements de transit,Indéterminé,
2017,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Indéterminé,0
2017,4,4 : En institution,Institutions médicales,Indéterminé,
2017,4,4 : En institution,Asile,Indéterminé,0
2017,5,5 : Logement non-conventionnel,SHNA,Indéterminé,3
2017,5,5 : Logement non-conventionnel,Occupations négociées,Indéterminé,0
2017,5,5 : Logement non-conventionnel,Squats,Indéterminé,3
2017,6,6 : Chez des tiers,Chez des tiers,Indéterminé,
2017,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Indéterminé,116
2017,1,1 : Espace public,Espace public,Mineurs,238
2017,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Mineurs,
2017,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Mineurs,249
2017,3,3 : Foyer d'hébergement,Maisons d'accueil,Mineurs,59
2017,3,3 : Foyer d'hébergement,Logements de transit,Mineurs,
2017,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Mineurs,312
2017,4,4 : En institution,Institutions médicales,Mineurs,
2017,4,4 : En institution,Asile,Mineurs,0
2017,5,5 : Logement non-conventionnel,SHNA,Mineurs,73
2017,5,5 : Logement non-conventionnel,Occupations négociées,Mineurs,41
2017,5,5 : Logement non-conventionnel,Squats,Mineurs,151
2017,6,6 : Chez des tiers,Chez des tiers,Mineurs,
2017,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Mineurs,712
2017,1,1 : Espace public,Espace public,Total,1452
2017,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Total,
2017,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Total,1963
2017,3,3 : Foyer d'hébergement,Maisons d'accueil,Total,154
2017,3,3 : Foyer d'hébergement,Logements de transit,Total,
2017,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Total,1018
2017,4,4 : En institution,Institutions médicales,Total,
2017,4,4 : En institution,Asile,Total,11
2017,5,5 : Logement non-conventionnel,SHNA,Total,395
2017,5,5 : Logement non-conventionnel,Occupations négociées,Total,385
2017,5,5 : Logement non-conventionnel,Squats,Total,1256
2017,6,6 : Chez des tiers,Chez des tiers,Total,
2017,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Total,4248
2018,1,1 : Espace public,Espace public,Femmes,220
2018,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Femmes,0
2018,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Femmes,304
2018,3,3 : Foyer d'hébergement,Maisons d'accueil,Femmes,33
2018,3,3 : Foyer d'hébergement,Logements de transit,Femmes,
2018,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Femmes,279
2018,4,4 : En institution,Institutions médicales,Femmes,
2018,4,4 : En institution,Asile,Femmes,8
2018,5,5 : Logement non-conventionnel,SHNA,Femmes,108
2018,5,5 : Logement non-conventionnel,Occupations négociées,Femmes,55
2018,5,5 : Logement non-conventionnel,Squats,Femmes,352
2018,6,6 : Chez des tiers,Chez des tiers,Femmes,
2018,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Femmes,943
2018,1,1 : Espace public,Espace public,Hommes,260
2018,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Hommes,580
2018,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Hommes,1344
2018,3,3 : Foyer d'hébergement,Maisons d'accueil,Hommes,63
2018,3,3 : Foyer d'hébergement,Logements de transit,Hommes,
2018,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Hommes,444
2018,4,4 : En institution,Institutions médicales,Hommes,
2018,4,4 : En institution,Asile,Hommes,54
2018,5,5 : Logement non-conventionnel,SHNA,Hommes,152
2018,5,5 : Logement non-conventionnel,Occupations négociées,Hommes,160
2018,5,5 : Logement non-conventionnel,Squats,Hommes,594
2018,6,6 : Chez des tiers,Chez des tiers,Hommes,
2018,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Hommes,2436
2018,1,1 : Espace public,Espace public,X,
2018,2,2 : Dispositifs d'urgence,Hébergement d'urgence,X,
2018,2,2 : Dispositifs d'urgence,Plateforme citoyenne,X,
2018,3,3 : Foyer d'hébergement,Maisons d'accueil,X,
2018,3,3 : Foyer d'hébergement,Logements de transit,X,
2018,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,X,
2018,4,4 : En institution,Institutions médicales,X,
2018,4,4 : En institution,Asile,X,
2018,5,5 : Logement non-conventionnel,SHNA,X,
2018,5,5 : Logement non-conventionnel,Occupations négociées,X,
2018,5,5 : Logement non-conventionnel,Squats,X,
2018,6,6 : Chez des tiers,Chez des tiers,X,
2018,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,X,
2018,1,1 : Espace public,Espace public,Indéterminé,0
2018,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Indéterminé,0
2018,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Indéterminé,151
2018,3,3 : Foyer d'hébergement,Maisons d'accueil,Indéterminé,0
2018,3,3 : Foyer d'hébergement,Logements de transit,Indéterminé,
